userId,amPm,inputDt,yest_sleep,yest_sleepProblem,yest_dream,amCondition,amEmotion,pmEmotion,pmStress,ifUnusual,breakfast,lunch,dinner,lateSnack,amCaffeine,amCaffAmount,pmCaffeine,pmCaffAmount,alcohol,aAmount,work,travel,meal,study,recreation_etc,outdoor_act,entertainment,hobby,personal_care,recreation_media,household,socialising,communitiy_interaction,today_sleep,today_sleepProblem,today_dream
117,pm,2020-01-18,4.0,2.0,4.0,3.0,3.0,3,4,1.0,4.0,3,3.0,4.0,coffee,1.0,,,,,,169.0,79.0,,68.0,,,61.0,29.0,254.0,,,,4.0,0.0,4.0
117,pm,2020-01-19,4.0,0.0,4.0,3.0,3.0,3,4,2.0,4.0,3,3.0,4.0,coffee,1.0,,,,,,107.0,50.0,,186.0,,,,10.0,409.0,,,,5.0,5.0,4.0
117,pm,2020-01-20,5.0,5.0,4.0,2.0,3.0,4,4,2.0,3.0,3,3.0,3.0,,,,,,,394.0,151.0,50.0,,,,,,,212.0,21.0,,,3.0,2.0,4.0
117,pm,2020-01-21,3.0,2.0,4.0,2.0,3.0,3,4,2.0,3.0,3,3.0,4.0,,,,,,,225.0,101.0,71.0,,51.0,,,,16.0,245.0,24.0,,,4.0,5.0,4.0
117,pm,2020-01-22,4.0,5.0,4.0,2.0,2.0,3,2,2.0,3.0,3,3.0,4.0,coffee,1.0,,,,,471.0,65.0,47.0,39.0,,,,,,237.0,4.0,,,5.0,0.0,4.0
117,pm,2020-01-23,5.0,0.0,4.0,2.0,3.0,4,4,2.0,2.0,2,3.0,3.0,coffee,1.0,,,,,323.0,268.0,35.0,,39.0,,,,,176.0,27.0,,,2.0,2.0,4.0
117,pm,2020-01-24,2.0,2.0,4.0,2.0,3.0,4,5,1.0,2.0,3,3.0,4.0,,,,,beer,1.0,,,46.0,,186.0,,,,,465.0,53.0,,,2.0,0.0,4.0
117,pm,2020-01-25,2.0,0.0,4.0,1.0,2.0,4,5,1.0,2.0,2,2.0,3.0,,,,,,,,231.0,125.0,,55.0,,,,,297.0,79.0,,,4.0,2.0,4.0
117,pm,2020-01-26,4.0,2.0,4.0,2.0,3.0,2,2,1.0,3.0,3,3.0,2.0,,,,,wine,1.0,,,74.0,,126.0,,,,,274.0,12.0,,,3.0,8.0,4.0
117,pm,2020-01-27,3.0,8.0,4.0,2.0,3.0,3,4,1.0,3.0,3,2.0,4.0,,,,,,,,130.0,73.0,,55.0,,,,21.0,476.0,,,,3.0,4.0,4.0
117,pm,2020-01-28,3.0,4.0,4.0,4.0,3.0,3,4,2.0,4.0,2,3.0,4.0,,,,,,,416.0,135.0,44.0,,17.0,,,,,238.0,12.0,,,2.0,2.0,4.0
117,pm,2020-01-29,2.0,2.0,4.0,2.0,2.0,2,2,2.0,4.0,3,2.0,4.0,coffee,1.0,,,,,480.0,186.0,52.0,,,,119.0,47.0,,,,,,3.0,2.0,4.0
117,pm,2020-01-30,3.0,2.0,4.0,3.0,2.0,3,4,2.0,4.0,3,2.0,4.0,coffee,1.0,,,,,472.0,61.0,41.0,,115.0,,,,,138.0,28.0,,,1.0,5.0,4.0
117,pm,2020-01-31,1.0,5.0,4.0,2.0,1.0,5,5,2.0,4.0,3,3.0,4.0,,,,,,,366.0,191.0,91.0,,,,,,,211.0,16.0,,,2.0,2.0,4.0
117,pm,2020-02-01,2.0,2.0,4.0,1.0,2.0,5,4,1.0,4.0,2,3.0,4.0,,,,,beer,1.0,,264.0,24.0,,53.0,,,,,345.0,,,,3.0,0.0,4.0
117,pm,2020-02-02,3.0,0.0,4.0,3.0,3.0,4,4,1.0,4.0,2,3.0,4.0,,,,,,,,,79.0,,270.0,,,,39.0,342.0,,,,,,
105,pm,2019-12-04,4.0,0.0,4.0,4.0,3.0,4,3,2.0,3.0,2,2.0,4.0,,,,,,,3.0,118.0,,125.0,128.0,,,,,,,,,4.0,0.0,4.0
105,pm,2019-12-05,4.0,0.0,4.0,3.0,3.0,3,4,2.0,3.0,4,3.0,4.0,,,coffee,1.0,,,,196.0,,286.0,,,,,16.0,,,,,4.0,0.0,4.0
105,pm,2019-12-06,4.0,0.0,4.0,3.0,3.0,4,5,2.0,3.0,4,4.0,4.0,,,,,,,176.0,71.0,18.0,190.0,161.0,,,,,,,,,4.0,0.0,4.0
105,pm,2019-12-07,4.0,0.0,4.0,4.0,3.0,5,5,1.0,3.0,4,3.0,4.0,,,,,,,,67.0,67.0,136.0,17.0,,174.0,,59.0,,57.0,,,2.0,9.0,4.0
105,pm,2019-12-08,2.0,9.0,4.0,2.0,2.0,3,5,1.0,4.0,3,4.0,4.0,,,,,soju,2.0,,,,33.0,36.0,,,,19.0,,92.0,,,5.0,0.0,4.0
105,pm,2019-12-09,5.0,0.0,4.0,2.0,2.0,5,5,2.0,3.0,4,3.0,4.0,coffee,1.0,,,,,,201.0,,356.0,,,,,,,,,,4.0,0.0,4.0
105,pm,2019-12-10,4.0,0.0,4.0,3.0,3.0,5,4,2.0,3.0,4,3.0,4.0,,,,,,,,,,,,,,,,,,,,5.0,0.0,4.0
105,pm,2019-12-11,5.0,0.0,4.0,3.0,3.0,5,5,2.0,3.0,3,3.0,4.0,,,coffee,1.0,,,177.0,274.0,,95.0,58.0,,,,19.0,,,,,5.0,0.0,4.0
105,pm,2019-12-12,5.0,0.0,4.0,4.0,3.0,5,5,2.0,3.0,3,3.0,4.0,,,,,,,,40.0,27.0,186.0,88.0,,,,29.0,,,,,5.0,0.0,4.0
105,pm,2019-12-13,5.0,0.0,4.0,3.0,3.0,5,5,2.0,4.0,3,3.0,4.0,,,,,,,331.0,154.0,,,9.0,,,,,,,,,5.0,0.0,4.0
105,pm,2019-12-14,5.0,0.0,4.0,5.0,5.0,5,5,1.0,3.0,3,3.0,4.0,,,,,,,135.0,58.0,,94.0,,,,,4.0,,,,,5.0,0.0,4.0
105,pm,2019-12-15,5.0,0.0,4.0,5.0,5.0,5,5,2.0,3.0,3,3.0,4.0,,,,,,,36.0,12.0,,271.0,,,,,211.0,,,,,5.0,0.0,3.0
105,pm,2019-12-16,5.0,0.0,3.0,5.0,5.0,5,5,2.0,3.0,4,3.0,4.0,,,,,,,60.0,258.0,,49.0,54.0,,,,21.0,,,,,5.0,0.0,4.0
105,pm,2019-12-17,5.0,0.0,4.0,5.0,5.0,5,5,2.0,3.0,3,3.0,4.0,,,,,,,,75.0,,33.0,,,,,131.0,,,,,,,
104,pm,2019-12-04,2.0,1.0,4.0,2.0,2.0,2,2,2.0,3.0,2,4.0,4.0,,,coffee,1.0,,,86.0,,50.0,,18.0,,,,17.0,,,,,3.0,1.0,4.0
104,pm,2019-12-05,3.0,1.0,4.0,2.0,2.0,3,3,2.0,3.0,3,4.0,4.0,tea,1.0,coffee,1.0,,,47.0,127.0,,28.0,,,,,,,,,52.0,4.0,5.0,4.0
104,pm,2019-12-07,4.0,5.0,4.0,3.0,3.0,5,3,2.0,3.0,4,4.0,3.0,tea,1.0,,,,,,,111.0,,84.0,,,,,70.0,234.0,,,3.0,5.0,4.0
104,pm,2019-12-08,3.0,5.0,4.0,4.0,3.0,4,4,2.0,4.0,3,3.0,4.0,,,,,,,,33.0,115.0,,73.0,,,,81.0,249.0,32.0,,90.0,4.0,1.0,2.0
104,pm,2019-12-09,4.0,1.0,2.0,4.0,3.0,4,2,2.0,3.0,3,2.0,3.0,,,coffee,1.0,,,237.0,3.0,38.0,,70.0,,,,46.0,37.0,,,,,,
104,pm,2019-12-11,4.0,0.0,4.0,2.0,3.0,4,2,2.0,3.0,3,4.0,3.0,coffee,1.0,coffee,1.0,,,87.0,13.0,54.0,112.0,36.0,,,101.0,9.0,,16.0,,,4.0,2.0,2.0
104,pm,2019-12-12,4.0,2.0,2.0,4.0,3.0,3,3,2.0,3.0,3,4.0,3.0,,,,,,,107.0,71.0,21.0,23.0,29.0,,,,29.0,,,19.0,9.0,4.0,2.0,4.0
104,pm,2019-12-14,4.0,2.0,4.0,4.0,4.0,4,4,1.0,4.0,2,3.0,4.0,,,,,soju,2.0,,6.0,46.0,,55.0,83.0,,,21.0,68.0,42.0,,,3.0,2.0,1.0
104,pm,2019-12-15,3.0,2.0,1.0,4.0,4.0,5,3,2.0,4.0,3,3.0,4.0,,,coffee,1.0,beer,1.0,,57.0,48.0,,36.0,,,,7.0,55.0,,61.0,108.0,4.0,0.0,2.0
104,pm,2019-12-16,4.0,0.0,2.0,2.0,2.0,4,3,2.0,4.0,2,2.0,3.0,,,coffee,1.0,,,134.0,46.0,37.0,30.0,,,,,13.0,7.0,,12.0,,4.0,0.0,4.0
104,pm,2019-12-17,4.0,0.0,4.0,2.0,3.0,4,4,1.0,4.0,2,4.0,4.0,,,coffee,1.0,,,51.0,53.0,38.0,,7.0,,,,18.0,,,,,2.0,2.0,4.0
104,pm,2019-12-18,2.0,2.0,4.0,1.0,4.0,4,4,2.0,4.0,3,4.0,2.0,coffee,1.0,coffee,1.0,,,90.0,12.0,53.0,10.0,22.0,,,,11.0,,,61.0,,4.0,0.0,4.0
104,pm,2019-12-19,4.0,0.0,4.0,2.0,4.0,4,4,1.0,2.0,3,2.0,2.0,,,tea,1.0,,,58.0,13.0,10.0,22.0,,,,,9.0,25.0,,40.0,,4.0,0.0,4.0
104,pm,2019-12-20,4.0,0.0,4.0,2.0,4.0,3,3,2.0,4.0,3,3.0,4.0,,,,,,,3.0,9.0,61.0,93.0,44.0,,,,61.0,7.0,,97.0,,4.0,0.0,4.0
104,pm,2019-12-21,4.0,0.0,4.0,4.0,3.0,4,5,1.0,2.0,3,4.0,3.0,coffee,1.0,coffee,,soju,2.0,,28.0,75.0,,,,,16.0,46.0,,,70.0,,4.0,5.0,4.0
104,pm,2019-12-23,4.0,5.0,4.0,1.0,4.0,3,4,2.0,4.0,2,3.0,4.0,coffee,2.0,,,soju,3.0,122.0,56.0,,26.0,9.0,,,,13.0,,,48.0,,,,
120,pm,2020-01-18,5.0,0.0,4.0,3.0,3.0,4,4,2.0,4.0,1,4.0,2.0,,,,,,,96.0,44.0,15.0,,,,,,61.0,,,,,4.0,0.0,2.0
120,pm,2020-01-19,4.0,0.0,2.0,3.0,3.0,4,4,2.0,4.0,2,2.0,2.0,,,,,,,516.0,96.0,41.0,,29.0,,,,22.0,,,,,4.0,9.0,4.0
120,pm,2020-01-20,4.0,9.0,4.0,2.0,3.0,3,3,2.0,4.0,2,3.0,2.0,,,,,,,,68.0,58.0,38.0,,,,,,,,,,4.0,0.0,4.0
120,pm,2020-01-21,4.0,0.0,4.0,2.0,3.0,3,5,2.0,4.0,3,2.0,4.0,,,,,,,,,36.0,4.0,14.0,,,353.0,,137.0,100.0,,,4.0,0.0,4.0
120,pm,2020-01-22,4.0,0.0,4.0,2.0,3.0,3,4,2.0,4.0,1,4.0,2.0,,,,,,,,163.0,27.0,153.0,70.0,,,,18.0,228.0,61.0,,,3.0,9.0,2.0
120,pm,2020-01-23,3.0,9.0,2.0,2.0,3.0,4,5,2.0,2.0,3,3.0,4.0,,,,,soju,1.0,,178.0,277.0,,71.0,,,98.0,24.0,,,,,4.0,0.0,4.0
120,pm,2020-01-24,4.0,0.0,4.0,2.0,3.0,4,5,2.0,2.0,3,3.0,4.0,,,,,,,,333.0,127.0,,245.0,,,,34.0,,,,,4.0,5.0,2.0
120,pm,2020-01-25,4.0,5.0,2.0,2.0,3.0,4,2,2.0,3.0,4,3.0,2.0,,,,,,,557.0,128.0,32.0,,,,,,,,,,,4.0,9.0,3.0
120,pm,2020-01-29,4.0,9.0,3.0,3.0,4.0,3,5,2.0,4.0,1,2.0,2.0,,,,,,,11.0,268.0,110.0,205.0,66.0,,,,37.0,,17.0,,,3.0,0.0,4.0
120,pm,2020-01-30,3.0,0.0,4.0,2.0,3.0,3,3,2.0,4.0,1,2.0,4.0,,,,,,,389.0,133.0,86.0,,118.0,,,,22.0,,,,,4.0,0.0,4.0
120,pm,2020-02-05,4.0,0.0,4.0,3.0,3.0,4,4,2.0,4.0,3,3.0,4.0,,,,,,,,10.0,84.0,,314.0,,,130.0,49.0,,16.0,,,4.0,0.0,4.0
120,pm,2020-02-06,4.0,0.0,4.0,2.0,3.0,3,4,2.0,2.0,3,3.0,4.0,,,,,,,,76.0,168.0,,415.0,,,,43.0,,,,,4.0,0.0,4.0
120,pm,2020-02-07,4.0,0.0,4.0,2.0,3.0,3,2,2.0,2.0,3,3.0,3.0,,,,,,,,87.0,52.0,187.0,157.0,,,,8.0,,,,,4.0,0.0,3.0
120,pm,2020-02-08,4.0,0.0,3.0,3.0,4.0,4,4,2.0,2.0,3,3.0,2.0,,,,,soju,1.0,,167.0,250.0,,98.0,,8.0,35.0,91.0,39.0,,,,,,
120,pm,2020-02-10,4.0,0.0,4.0,3.0,4.0,3,4,2.0,2.0,2,3.0,4.0,,,,,,,,40.0,195.0,,367.0,,,,10.0,,110.0,,13.0,3.0,0.0,4.0
120,pm,2020-02-11,3.0,0.0,4.0,2.0,3.0,3,4,2.0,4.0,1,3.0,2.0,,,,,,,,152.0,26.0,,29.0,,94.0,10.0,98.0,,,,,3.0,0.0,4.0
120,pm,2020-02-12,3.0,0.0,4.0,2.0,3.0,4,5,2.0,4.0,3,3.0,2.0,,,,,,,,156.0,83.0,,170.0,,,,45.0,,19.0,,,,,
103,pm,2020-01-04,4.0,0.0,4.0,3.0,4.0,5,2,1.0,3.0,3,3.0,3.0,,,,,,,,27.0,,,,,283.0,,,,,,,5.0,0.0,4.0
103,pm,2020-01-05,5.0,0.0,4.0,3.0,4.0,5,3,1.0,3.0,3,3.0,3.0,,,coffee,1.0,,,,102.0,,,60.0,,,,,,,,,5.0,0.0,4.0
103,pm,2020-01-07,5.0,0.0,4.0,4.0,4.0,5,3,2.0,3.0,3,3.0,4.0,,,,,,,,15.0,40.0,172.0,83.0,,,,,,,,,2.0,0.0,4.0
103,pm,2020-01-08,2.0,0.0,4.0,2.0,2.0,5,4,1.0,4.0,3,2.0,4.0,,,,,,,,131.0,179.0,1.0,44.0,111.0,,,,,,6.0,,2.0,1.0,4.0
103,pm,2020-01-09,2.0,1.0,4.0,2.0,2.0,4,4,2.0,3.0,3,3.0,3.0,,,,,beer,1.0,,,121.0,,297.0,,,,,,,102.0,57.0,2.0,5.0,2.0
103,pm,2020-01-11,2.0,5.0,2.0,2.0,4.0,4,2,2.0,3.0,3,3.0,4.0,,,coffee,1.0,,,,,76.0,188.0,264.0,,60.0,,,,40.0,,,4.0,1.0,4.0
103,pm,2020-01-12,4.0,1.0,4.0,2.0,4.0,2,2,2.0,4.0,4,3.0,3.0,,,,,,,17.0,201.0,22.0,,1.0,,,,,4.0,,,,2.0,5.0,4.0
103,pm,2020-01-13,2.0,5.0,4.0,2.0,3.0,3,4,2.0,4.0,2,3.0,4.0,,,coffee,1.0,,,73.0,281.0,37.0,20.0,,,,18.0,,28.0,,48.0,,4.0,5.0,4.0
103,pm,2020-01-14,4.0,5.0,4.0,3.0,3.0,4,4,2.0,3.0,3,4.0,4.0,,,coffee,1.0,,,,44.0,,131.0,257.0,,,,27.0,21.0,,,,1.0,1.0,4.0
103,pm,2020-01-15,1.0,1.0,4.0,2.0,4.0,5,4,2.0,3.0,4,3.0,3.0,,,,,,,81.0,8.0,42.0,,15.0,,,129.0,,64.0,,,,5.0,0.0,2.0
103,pm,2020-01-16,5.0,0.0,2.0,2.0,4.0,5,4,2.0,4.0,2,3.0,3.0,,,,,,,,146.0,174.0,,63.0,,,,10.0,35.0,24.0,132.0,,,,
114,pm,2019-12-07,4.0,6.0,4.0,2.0,3.0,5,5,2.0,4.0,3,1.0,4.0,,,coffee,1.0,,,,86.0,86.0,562.0,58.0,,,,,,,,,4.0,2.0,2.0
114,pm,2019-12-08,4.0,2.0,2.0,3.0,3.0,4,4,2.0,3.0,3,4.0,4.0,,,,,,,,177.0,15.0,192.0,291.0,,,,10.0,,,,,4.0,0.0,4.0
114,pm,2019-12-09,4.0,0.0,4.0,4.0,5.0,5,5,2.0,4.0,3,4.0,4.0,,,,,,,,176.0,92.0,269.0,,76.0,84.0,,,,,,,5.0,0.0,4.0
114,pm,2019-12-10,5.0,0.0,4.0,5.0,5.0,5,5,2.0,4.0,3,4.0,4.0,coffee,1.0,,,,,,238.0,97.0,282.0,,92.0,,,,,,,,3.0,0.0,2.0
114,pm,2019-12-11,3.0,0.0,2.0,2.0,3.0,5,5,2.0,4.0,3,3.0,4.0,coffee,1.0,,,,,,33.0,156.0,315.0,59.0,26.0,,,,,,,,4.0,1.0,2.0
114,pm,2019-12-12,4.0,1.0,2.0,3.0,3.0,4,5,2.0,4.0,3,3.0,4.0,,,coffee,1.0,,,,153.0,203.0,283.0,2.0,,,,,,,,,4.0,0.0,2.0
114,pm,2019-12-13,4.0,0.0,2.0,4.0,4.0,5,5,2.0,3.0,3,3.0,4.0,,,coffee,2.0,,,,383.0,97.0,93.0,17.0,,,,34.0,,,,,3.0,1.0,2.0
114,pm,2019-12-14,3.0,1.0,2.0,3.0,2.0,5,4,2.0,4.0,3,3.0,3.0,,,coffee,1.0,,,,86.0,21.0,453.0,92.0,,,,14.0,,,,,3.0,6.0,4.0
114,pm,2019-12-15,3.0,6.0,4.0,3.0,2.0,5,4,2.0,4.0,3,3.0,3.0,,,coffee,1.0,beer,1.0,,133.0,37.0,395.0,93.0,,,,14.0,,,,,3.0,9.0,2.0
114,pm,2019-12-16,3.0,9.0,2.0,4.0,3.0,3,2,2.0,4.0,3,4.0,3.0,,,,,,,,195.0,19.0,243.0,129.0,,,,,,,,,3.0,0.0,2.0
114,pm,2019-12-17,3.0,0.0,2.0,3.0,3.0,2,2,2.0,4.0,3,3.0,4.0,coffee,1.0,,,,,,133.0,56.0,329.0,79.0,,,,,,,,,4.0,0.0,2.0
114,pm,2019-12-18,4.0,0.0,2.0,3.0,4.0,4,3,2.0,4.0,3,3.0,4.0,,,coffee,1.0,,,,126.0,113.0,453.0,,,,,26.0,,,,,,,
114,pm,2019-12-21,4.0,0.0,2.0,4.0,4.0,5,5,2.0,4.0,3,3.0,4.0,,,,,,,,274.0,,119.0,90.0,,92.0,,82.0,,,,,4.0,0.0,3.0
114,pm,2019-12-22,4.0,0.0,3.0,4.0,4.0,5,5,1.0,3.0,3,4.0,4.0,,,,,,,,203.0,51.0,107.0,,,,,,,,,,,,
101,pm,2020-01-02,5.0,9.0,4.0,4.0,4.0,4,3,2.0,3.0,3,2.0,4.0,,,,,,,351.0,214.0,92.0,46.0,40.0,,,,,,,,,5.0,9.0,4.0
101,pm,2020-01-03,5.0,9.0,4.0,4.0,4.0,4,3,2.0,3.0,3,3.0,3.0,,,,,,,218.0,386.0,61.0,,,,,,,,,,,5.0,9.0,4.0
101,pm,2020-01-04,5.0,9.0,4.0,4.0,4.0,4,4,2.0,4.0,3,3.0,4.0,,,,,,,,,87.0,,626.0,1.0,,,,,,,,2.0,1.0,4.0
101,pm,2020-01-05,2.0,1.0,4.0,2.0,2.0,4,2,1.0,4.0,3,3.0,4.0,,,,,,,,131.0,53.0,131.0,379.0,,23.0,3.0,,,,,,5.0,9.0,4.0
101,pm,2020-01-06,5.0,9.0,4.0,2.0,4.0,4,2,2.0,4.0,3,3.0,4.0,,,,,,,,,,,,,,,,,,,,5.0,1.0,4.0
