userId,inputDt,yest_sleep,yest_sleepProblem,yest_dream,amCondition,amEmotion,pmEmotion,pmStress,caffeine,cAmount(ml),alcohol,aAmount(ml),work,meal,personal_care,travel,recreation_etc,recreation_media,socialising,study,household,shop,entertainment,outdoor_act,hobby,care_housemem,community_interaction,today_sleep,today_sleepProblem,today_dream
user24,2020-08-31 0:00,3,2,2,3,3,4,2,coffee,200,,,517,89,25,,33,,,,26,,,,128,,,4,0,4
user24,2020-09-01 0:00,4,0,4,4,3,5,4,coffee,150,,,389,120,35,145,,108,,,,3,,,45,,,4,0,4
user24,2020-09-02 0:00,4,0,4,2,4,4,4,,,,,413,98,25,,118,,24,,20,,,,,,77,4,0,2
user24,2020-09-03 0:00,4,0,2,2,3,3,2,coffee,200,,,374,95,20,,58,92,66,,25,,,20,120,,,3,0,2
user24,2020-09-04 0:00,3,0,2,2,3,5,4,coffee,100,,,452,106,40,150,35,57,55,,,,,,,,,4,0,3
user24,2020-09-05 0:00,4,0,3,3,5,5,5,,,,,,121,,,24,314,60,,90,,,,,,,4,0,2
user24,2020-09-06 0:00,4,0,2,2,3,2,1,coffee,250,,,,187,32,108,65,54,216,,,30,,,,,69,4,1,2
user24,2020-09-07 0:00,4,1,2,4,3,4,2,coffee,200,,,436,75,38,146,30,67,117,,,,,,,,,4,0,4
user24,2020-09-08 0:00,4,0,4,1,4,4,2,,,,,450,110,38,162,,140,,,,,,,,,,3,0,2
user24,2020-09-09 0:00,3,0,2,2,4,3,3,,,,,345,109,,,,298,,,15,,,31,,,,4,0,4
user24,2020-09-10 0:00,4,0,4,3,4,4,4,,,,,375,85,20,,35,297,,,10,,,,,,50,4,0,4
user24,2020-09-11 0:00,4,0,4,2,3,5,2,coffee,150,,,420,160,35,180,10,,,,10,,,,128,,,3,5,2
user24,2020-09-12 0:00,3,5,2,2,4,4,5,coffee,100,,,,68,20,55,,469,88,,10,,,50,,,,4,0,2
user24,2020-09-13 0:00,4,0,2,2,4,5,2,,,,,,125,,61,60,209,,,20,,,,,,155,4,0,2
user24,2020-09-14 0:00,4,0,2,2,3,5,2,coffee,250,,,,,,,,,,,,,,,,,,3,2,2
user24,2020-09-15 0:00,3,2,2,2,2,3,2,,,,,430,35,30,260,15,65,,,20,,,,,,,4,0,2
user24,2020-09-16 0:00,4,0,2,3,4,4,2,,,,,510,120,,,,192,105,,,,,,,,,4,0,2
user24,2020-09-17 0:00,4,0,2,4,3,3,2,coffee,150,,,335,50,15,127,75,95,137,,,,,,,,,3,0,2
user24,2020-09-18 0:00,3,0,2,1,3,3,1,,,,,388,128,35,238,30,,40,,,,,,,,,3,0,2
user24,2020-09-19 0:00,3,0,2,2,3,3,4,,,,,,68,45,105,90,205,115,,,,,,,,90,4,0,2
user24,2020-09-20 0:00,4,0,2,3,4,4,4,,,,,,112,23,50,,15,222,,126,,,,75,,124,3,0,2
user24,2020-09-21 0:00,3,0,2,2,2,4,1,coffee,100,,,504,72,49,146,20,113,65,,,,,,,,,4,2,2
user24,2020-09-22 0:00,4,2,2,2,3,3,2,,,,,436,120,30,186,13,99,,,10,,,,,,,4,0,2
user24,2020-09-23 0:00,4,0,2,2,4,2,1,coffee,200,,,432,149,15,56,10,48,78,,,,,,,,69,3,0,2
user24,2020-09-24 0:00,3,0,2,2,3,1,1,,,,,582,65,,,20,84,,,,,,,,,,3,0,2
user24,2020-09-25 0:00,3,0,2,2,2,4,2,coffee,100,,,423,80,26,205,,41,106,,,,,40,,49,,4,0,2
user24,2020-09-26 0:00,4,0,2,4,3,4,4,,,,,,85,,25,72,339,,90,20,,,,96,,,4,0,2
user24,2020-09-27 0:00,4,0,2,3,4,3,4,coffee,100,,,,140,29,35,5,168,,,35,,,,,,127,,,
user23,2020-08-31 0:00,4,1,2,3,4,5,2,coffee,300,,,540,60,30,120,120,,,,20,,,30,,40,,4,1,2
user23,2020-09-01 0:00,4,1,2,2,4,5,3,coffee,250,,,256,60,63,330,58,,,,30,,,,,60,,2,1,4
user23,2020-09-02 0:00,2,1,4,3,4,5,4,,,,,,91,18,180,90,,,,30,,,60,,208,,3,3,4
user23,2020-09-03 0:00,3,3,4,4,4,5,5,,,,,,80,,60,30,60,,,,,,90,,353,,4,1,2
user23,2020-09-04 0:00,4,1,2,4,4,5,5,,,,,,121,,300,,60,,,60,,,,,189,,4,0,4
user23,2020-09-05 0:00,4,0,4,5,5,5,2,,,,,,125,37,60,,60,,,90,,,36,,266,,4,0,2
user23,2020-09-06 0:00,4,0,2,4,5,5,4,,,,,,60,84,140,90,,,,70,,,,60,270,,3,5,2
user23,2020-09-07 0:00,3,5,2,1,2,5,4,,,,,450,90,24,210,,,,,,,,,,24,,3,8,2
user23,2020-09-08 0:00,3,8,2,2,4,4,2,,,,,360,29,115,240,30,,,,,,,,,60,,3,8,2
user23,2020-09-09 0:00,3,8,2,3,3,4,2,,,,,471,100,44,120,,,,,,,,,,60,,2,7,2
user23,2020-09-10 0:00,2,7,2,1,1,5,4,,,,,299,60,60,323,,,,,,,,60,,35,,3,3,2
user23,2020-09-11 0:00,3,3,2,3,4,5,4,,,,,510,50,70,120,,,,,,,,,,38,,4,0,2
user23,2020-09-12 0:00,4,0,2,4,4,5,5,,,,,,120,20,76,,200,,,20,,,,,200,,2,9,2
user23,2020-09-13 0:00,2,9,2,2,4,5,5,,,,,,120,30,60,,270,,,120,,,,,119,,4,9,2
user23,2020-09-14 0:00,4,9,2,4,4,5,4,,,,,510,60,55,120,,,,,,,,35,,60,,4,9,2
user23,2020-09-15 0:00,4,9,2,2,4,5,2,,,,,390,100,49,210,,,,,,,,,,36,,4,9,2
user23,2020-09-16 0:00,4,9,2,2,3,5,4,,,,,510,150,61,89,,,,,,,,,,,,3,3,1
user23,2020-09-17 0:00,3,3,1,3,2,5,4,,,,,370,90,55,230,,36,,,,,,,,65,,3,9,2
user23,2020-09-18 0:00,3,9,2,4,3,5,5,,,,,420,61,59,210,,,,,,,,,,,,2,9,2
user23,2020-09-19 0:00,2,9,2,2,4,5,5,,,,,,120,19,135,,179,,,,,30,20,,235,,4,9,2
