제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차
지식정보격차 해소를 위한 공공도서관과 작은도서관의 지원 및 연계에 관한 인식조사 - D시 공공도서관 사서와 작은도서관 운영자를 중심으로 - = Survey on Perceptions of Public and Small Libraries’ Support and Collaboration to Close the Knowledge Information Divide: Focusing on Public Librarians and Small Library Operators in City D,"이성숙,이지원",한국도서관·정보학회,한국도서관정보학회지,"Vol.56No.2[2025]
",2025,Korean,"지식정보격차 해소,공공도서관,작은도서관,사서,Knowledge and Information Divide,Public Libraries,Small Libraries,Librarians",,KCI등재,"학술저널
",http://liss.jams.or.kr,27-54,,,," ScienceON, &nbsp;&nbsp; KCI",,"본 연구의 목적은 지식정보격차 해소 활동을 위한 공공도서관과 작은도서관의 지원 및 연계에 관한 인식을 조사하기 위한 것이다. 이를 위해 설문조사를 실시하였으며, 설문조사 결과를 바탕으로 다음과 같은 시사점을 도출하였다. 첫째, 공공도서관과 작은도서관의 지식정보격차 해소 활동 강화의 필요성이 확인되었다. 둘째, 연계 가능한 부분으로 ‘독서문화 프로그램’과 ‘기존 도서관 서비스 홍보’를 우선적으로 고려해야 한다. 셋째, 공공도서관의 개선사항으로는 ‘예산 확보’, ‘광역대표도서관의 지원 및 창구 역할 강화’, ‘작은도서관 운영자 및 자원봉사자의 전문성 제고를 위한 교육 활성화’가 제시되었다. 넷째, 공립 작은도서관의 개선사항으로는 ‘사서 인력 확보’, ‘인식 개선’, ‘시설 및 설비 확충’이 필요하다. 다섯째, 공공도서관과 작은도서관 상호 간의 개선사항으로는 ‘의견 및 정보 공유 활성화’와 ‘민관갈등 해결 및 연계 관리 전문 교육’이 강조되었다. 본 연구 결과는 지식정보격차 해소 활동을 위한 공공도서관과 작은도서관의 협력에 관한 기초 자료로 활용될 수 있을 것이다.","The objective of this study is to examine perceptions regarding the collaboration and support between public libraries and small libraries for activities aimed at addressing the knowledge and information divide. To this end, a survey was conducted. A subsequent analysis of the survey results yielded the following implications. Firstly, the necessity of fortifying knowledge and information divide reduction activities between public libraries and small libraries was confirmed. Secondly, the designated areas should prioritize the implementation of reading culture programs and the promotion of existing library services. Thirdly, the following improvements for public libraries were proposed: The objectives of the initiative include securing a budget, strengthening the support and liaison role of regional representative libraries, and promoting education to enhance the expertise of small library operators and volunteers. Fourthly, the following improvements were proposed for public small libraries: The objectives of the initiative include securing librarian personnel, improving awareness, and expanding facilities and equipment. Fifthly, the report highlighted the potential for enhanced collaboration between public libraries and small libraries, emphasizing the importance of facilitating the exchange of opinions and information, as well as specialized education on resolving public-private conflicts and linked management. The findings of this study can be employed as fundamental data for collaborative endeavors between public libraries and small libraries in activities aimed at addressing the knowledge and information divide.",
직급정보를 활용한 성별 임금격차 분해 = Decomposing the Gender Wage Gap Across Occupational Hierarchies,"황성수,이지은,금예진",한국직업능력연구원,직업능력개발연구(Journal of Vocational Education & Training),"Vol.28No.1[2025]
",2025,Korean,"gender wage disparities,wage disparities by occupational rank,blinder Oaxaca,Human Capital Corporate Panel Survey (HCCP),wage decomposition,성별 임금격차,직급별 임금격차,Oaxaca-Blinder,인적자본기업패널조사(HCCP),임금분해",,KCI등재,"학술저널
",http://www.krivet.re.kr,207-234,,,, KCI,경북대학교 중앙도서관,"성별 임금격차는 한국의 경제적 불평등을 드러내는 요소 중 하나이다. 한국의 성별 임금격차(31.1%, 2022년 기준)는 OECD 국가 중 여전히 높은 수준을 보이고 있다(OECD 평균 12.1%, 2022년 기준). 하지만 이러한 격차는 단순히 성별 차이로 비롯된 것이 아니라 기업규모, 업종, 근속연수, 학력 등 다양한 요인들이 복합적으로 작용한 결과이다. 이에 본 연구에서는 인적자본기업패널조사(HCCP) 데이터에 Oaxaca-Blinder 분해 방법론을 적용하여 직급과 같은 기업 내 역량, 지위, 근속연수 등의 정보가 성별 임금격차에 미치는 영향을 분석하였다. 임금분해 결과, 남성의 평균 시간당 임금은 16,446원이고 여성은 12,473원으로 총 31.8%의 임금격차를 보였다. 이 중 인적 자본 특성으로 설명되는 부분(차이)은 14.5%이며, 설명되지 않는 부분(차별)은 15.1%이다. 직급을 감안할 경우에는 총 30.3%의 임금격차를 보이며, 이 중 차이로 인한 부분이 21.1%이고, 차별이나 기타 불균형으로 인한 부분은 7.6%로 나타났다. 특히, 직급을 고려하였을 경우 남녀 임금격차에서 차별이 차지하는 비중이 작아지는 것으로 나타났다.","Gender wage inequality is a key indicator of economic disparity in South Korea. As of 2022, the gender wage gap in South Korea stands at 31.1%, significantly exceeding the OECD average of 12.1%. However, this gap arises not solely from gender differences but from various factors, including firm size, industry, tenure, and educational background. This study applied the Oaxaca-Blinder decomposition method to Human Capital Corporate Panel (HCCP) data to analyze the impact of corporate factors such as occupational hierarchy, job status, and tenure on the gender wage gap. The analysis revealed that the average hourly wage for men is 16,446 KRW, while for women it is 12,473 KRW, resulting in a total wage gap of 31.8%. Of this gap, 14.5% is attributable to differences in human capital characteristics, while 15.1% remains unexplained, suggesting potential discrimination. When occupational hierarchy is considered, the total wage gap decreases to 30.3%, with 21.1% attributed to differences and 7.6% to unexplained factors, including discrimination. Notably, accounting for occupational rank reduces the portion of the wage gap attributed to discrimination, highlighting its mitigating role in gender wage inequality.",
이미지 생성형AI 활용 교육의 기대감에 영향을 미치는 요인 연구: 정보격차 요인의 조절효과 = A Study on Factors Influencing Expectations for Education Utilizing Image-Generating AI: The Moderating Effect of the Digital Divide,"황경화,황심예,고풍,권오병",한국지능정보시스템학회,지능정보연구(Journal of Intelligence and Information Systems),"Vol.31No.1[2025]
",2025,Korean,"이미지 생성형AI,생성형AI 교육,디지털 격차,학습 효과,자기효능감,Text-to-Image Generative AI,Generative AI Education,Digital Divide,Learning Effectiveness,Self-Efficacy",,KCI등재,"학술저널
",http://www.kiiss.or.kr,233-253,,,, DBpia,,,"The phenomena of aging and regional depopulation have emerged as critical societal challenges in South Korea, with the digital divide—stemming from disparities in information access between urban and rural areas and generational differences in information technology utilization—expected to deepen. Concurrently, Generative Artificial Intelligence (Generative AI) has been recognized as a transformative technology capable of democratizing creative processes across various domains, including art, design, and content creation. Its potential to mitigate economic inequality and broaden social opportunities has garnered significant academic and policy interest. However, limited research has examined the extent to which digital divide factors influence the impact of Generative AI experiences on economic expectations and cultural engagement. The present study aims to identify the key determinants of learning effectiveness in educational programs utilizing Text-to-Image (T2I) Generative AI and to empirically investigate the moderating role of the digital divide. Specifically, this study (1) examines the influence of Generative AI education on learning outcomes via learners' self-efficacy and (2) explores whether digital divide factors, such as age and geographic location, exert a moderating effect on this relationship. To achieve these objectives, a mixed-methods approach combining experimental research and survey analysis is employed to comprehensively assess the effectiveness of AI education. Additionally, the study evaluates the impact of Generative AI's information quality and system quality on learners' sense of achievement and emotional engagement. The findings contribute to the academic discourse on AI education by elucidating pathways through which AI training can serve as a mechanism for reducing economic disparities. Furthermore, the study offers insights into the design of effective AI education programs and policy recommendations for equitable technology dissemination. By delineating strategies for the effective provision of Text-to-Image Generative AI education to populations affected by the digital divide, this research proposes a framework for fostering the inclusive and sustainable adoption of AI technologies.",
디지털 정보격차 관련 유튜브 동영상 콘텐츠 분석 = An Analysis of YouTube Video Content Related to Digital Divide,"김주영,이종욱",한국비블리아학회,한국비블리아학회지(Journal of the Korean Biblia Society for Library and Information Science),"Vol.36No.1[2025]
",2025,Korean,"Digital Divide,YouTube,Topic Modeling,Video Content,디지털 정보격차,유튜브,토픽모델링,동영상 콘텐츠",,KCI등재,"학술저널
",https://kbiblia.jams.or.kr,229-253,,,," ScienceON, &nbsp;&nbsp; KCI",,,"This study analyzes how digital divide is discussed in YouTube video content, one of the major social media platforms. Basic statistical analysis was conducted on collected YouTube video data, and LDA topic modeling was applied to the speech text. The category analysis by year showed that the ‘News/Politics’ category had the highest number of uploaded videos. Additionally, videos with the most views, likes, and comments were all posted in 2024. Topic modeling identified five key themes: 1) digital technology and services for people with disabilities, 2) digital divide in education and solutions to bridge educational gaps, 3) enhancing digital literacy among the elderly and reducing information inequality, 4) social issues caused by the digital divide across age groups, 5) public projects and support measures to address digital divide. Among these, ‘Social issues caused by the digital divide across age groups’ had the highest data volume, followed by ‘public projects and support measures,’ which also showed a significant share. These two topics, along with ‘Enhancing digital literacy among the elderly,’ received the highest user engagement in terms of views, comments, and likes. This suggests strong public interest in the societal impact of the digital divide and initiatives to improve digital literacy, particularly among older adults.",
노년층의 정보격차 해소를 위한 국내 언론의 노인 디지털 리터러시 교육 보도 경향 분석 = An Analysis of News Media Coverage of Digital Literacy Education for Older Adults to Bridge the Digital Divide,"김선정,이지수",한국비블리아학회,한국비블리아학회지(Journal of the Korean Biblia Society for Library and Information Science),"Vol.36No.1[2025]
",2025,Korean,"Digital literacy education,Older adults,Digital divide,Digital literacy,News Big data,Text Mining,디지털 교육,노인,정보격차,디지털 리터러시,뉴스 빅데이터,텍스트마이닝",,KCI등재,"학술저널
",https://kbiblia.jams.or.kr,199-228,,,, KCI,,,"This study proposes a framework for the development and operation of Digital literacy programs for older adults in Public libraries. The study analyzed news media coverage of ‘Digital literacy education’ for older adults over a period of 25 years. A total of 4,120 articles were extracted from the BigKinds. A quantitative analysis and content analysis were conducted on the news media frames. The analysis showed that, since 2000, the news media have focused on the issue of digital literacy education for older adults due to the development of information and communication technology (ICT) and the widespread use of digital devices. The frequently discussed topics were ‘IT_Science’ and ‘Local’. The primary terms were ‘digital’, ‘older adults’, ‘education’, ‘information’, ‘digital divide’ and ‘smartphone’. As a result of the study, the news media reported on the government, local governments and companies providing digital literacy education for older adults. In addition, the news media focused on the digital transformation of Korean society and the digital divide caused by the aging population.",
"여성 집단 내에서의 생활만족도에 영향을 미치는 정보격차 변인에  대한 비교 연구 : 일반여성, 결혼이민여성, 북한이탈여성을 중심으로 = A Comparative Study on the Impact  of Information Divide Variables on Daily Life Satisfaction Among Women: Focusing on General Women, Marriage Immigrant Women, and North Korean Defector Women","조수선,조윤경",한국엔터테인먼트산업학회,한국엔터테인먼트산업학회논문지(Journal of Korea Entertainment Industry Association),"Vol.18No.8[2024]
",2024,Korean,"디지털 디바이드,효능감,생활만족도,사회자본,여성,Digital Divide,Efficacy,Life Satisfaction,Social Capital,Women",,KCI등재,"학술저널
",,13-26,,,, DBpia,,"본 연구는 여성이라는 틀 안에서 초기 사회화가 일어난 지역에 의해 나누어지는 집단(일반여성, 결혼이민여성, 북한이탈여성) 별로 정보활용능력, 심리적 요인(디지털 기술에 대한 태도 및 효능감), 사회자본(결속적, 교량적) 등의 디지털 정보격차 관련 변인들이 어떠한 차이가 나타나며 생활만족도에 영향을 미치는가를 비교 분석하였다. 이를 위해 생활만족도를 포함한 집단별 정보격차 변인들의 일원배치 평균 분석과 다중회귀분석을 실시하였다. 분석 결과, 세 집단 간 정보활용능력, 심리적 요인의 유의미한 차이는 발견되지 않지만 생활만족도와 결속적 사회자본은 일반여성이 가장 높았고 결혼이민여성, 북한이탈여성 순으로 유의미한 차이가 있었다. 일반여성과 북한이탈여성 집단은 결속적 사회자본이 생활만족도에 가장 큰 영향을 미친 요인으로 나타났다. 결혼이민여성 집단은 디지털기술에 대한 자기효능감이 생활만족도에 가장 큰 영향을 미친 요인으로 나타났다. 이를 바탕으로 디지털 격차관련 소외 여성 집단에 대한 보다 깊이 있는 이해와 정책이 수립되어야 할 필요성을 논의하였다.","This study compared and analyzed the differences in digital divide-related variables, such as information utilization, psychological factors (attitude & self-efficacy toward digital technology), and social capital (bonding & bridging), based on groups divided by the region of their initial socialization within women (General Women, Marriage Migrant Women, and North Korean Defector Women), and how these factors affect their life satisfaction. As results, there was no significant differences in information utilization and psychological factors among the three groups. However, life satisfaction and bonding social capital were highest in the General Women, followed by the Marriage Migrant Women and North Korean Defector Women, with significant differences observed between the groups. For General Women and North Korean Defector Women, bonding social capital was found to be the most influential factor on life satisfaction. For the Marriage Migrant Women, self-efficacy in digital technology found to be the most influential factor on life satisfaction. Based on these findings, the need for a deeper understanding and establishment of policies for marginalized  women groups related to the digital divide was discussed.",
OTT 구독 서비스 이용자와 비이용자의 디지털 정보격차 연구 = Digital Divide Between Over-the-top Subscription Service Users and Non-users,정다희,한국디지털콘텐츠학회,한국디지털콘텐츠학회논문지(Journal of Digital Contents Society),"Vol.25No.6[2024]
",2024,Korean,"OTT Subscription Service,Subscription Service Non-Users,Digital Divide,Digital Information Capability Level,Digital Information Usability Level,OTT 구독 서비스,구독 서비스 비이용자,디지털 정보격차,디지털정보 역량 수준,디지털정보 활용 수준",,KCI등재,"학술저널
",http://www.dcs.or.kr,1477-1486,,,, DBpia,,,"This study analyzed the digital divide between over-the-top (OTT) subscription service users and non-users due to changes in the broadcasting environment, such as the activation of subscription-based OTT platforms and transition to new media content trends. The study examined the demographic characteristics of OTT service users and non-users, analyzed their digital divide factors, and conducted a hierarchical regression analysis to identify factors influencing the use of OTT services. The results showed differences in the sociodemographic characteristics of the users and non-users in terms of age, level of education, employment status, family composition, and residential area, and users had higher digital information capability and usability levels. The key factors influencing OTT service usage were employment status, highest level of education, regional classification, and the measurement item of digital information capability level, specifically the ""degree of wireless network setup capability."" The status of non-users revealed in this study is significant in determining the relationship between OTT service usage and the information divide.",
텍스트마이닝을 활용한 노년층 디지털정보격차 국내 동향 분석 = Trend Analysis on the Elderly’s Digital Divide in South Korea Using Text Mining,"장은지,남궁아람",한국콘텐츠학회,한국콘텐츠학회논문지(The Journal of the Korea Contents Association),"Vol.24No.1[2024]
",2024,Korean,"노년층 디지털정보격차,디지털포용,연구 및 언론 동향,토픽모델링,언어 네트워크 분석,The Elderly’s Digital Divide,Digital Inclusion,Academic and Media Trends,Topic Modeling,Language Network Analysis",,KCI등재,"학술저널
",http://www.koreacontents.or.kr,93-105,,,, DBpia,,,"This study illuminates the digital divide among the elderly in the context of academic research and media to include the elderly in an intelligent information society. This study analyzed academic papers and news articles written about the digital divide among the elderly using topic modeling and language network analysis. The findings revealed that academic papers mainly focused on the relationship between digital capabilities and life satisfaction of the elderly, as well as the factors influencing the digital divide among the elderly. While papers on the former topic have increased since 2020, those addressing the latter topic have declined. In the media, there has been a sharp increase in articles addressing workforce development and education to address the digital divide among the elderly, as well as the elderly’s social exclusion issues caused by the digital divide. However, the number of articles related to cultural initiatives and events has been decreased. The study concludes that although there is a high interest in the digital capabilities, social exclusion, and life satisfaction of the elderly, efforts to bridge the digital divide have been restricted to individual capacity-building. Finally, the study includes implications for academia and politics regarding the digital inclusion of the elderly.",
트리 기반의 앙상블 머신러닝 및 SHAP 기법을 활용한 고령층의 삶의 만족도에 영향을 미치는 디지털 정보격차 요인 탐색,이정선(Jeong-Seon Lee),한국디지털콘텐츠학회,한국디지털콘텐츠학회논문지(Journal of Digital Contents Society),"Vol.25No.7[2024]
",2024,Korean,"디지털 정보격차,고령층,삶의 만족도,기계학습,Digital Divide,Elderly,Life Satisfaction,Machine Learning,SHAP",4.0,KCI등재,"학술저널
",http://www.dcs.or.kr,1847-1860,,,, DBpia,,,"While digital transformation offers several benefits, it also raises issues such as social inequality and exclusion due to the digital divide. With increasing aging population, this digital divide among the elderly is expected to widen. This study explores the factors of the digital divide affecting life satisfaction among the elderly, using data from the “2022 Digital Divide Survey.” Tree-based ensemble machine learning techniques such as Random Forest, XGBoost, LightGBM, and CatBoost were applied, with CatBoost showing the best performance. SHAP analysis of the CatBoost model reveals that technological self-efficacy, bonding social capital, attitudes towards digital devices, digital assistants, internet use, household income, and education level are key factors. The study highlights the importance of addressing the digital divide to enhance life satisfaction and quality of life for the elderly.",
인공지능 기반 사회에서의 정보 격차 양상과 사회적 포용에 관한 미래 전망 연구 = A Prospective Study on the Aspects of the Digital Divide and Social Inclusion in an AI-based Society,"차석기,정도범,서봉군",한국지식경영학회,지식경영연구(Knowledge Management Research),"Vol.25No.3[2024]
",2024,Korean,"디지털 격차,사회적 포용,시나리오 분석,인공지능 리터러시,인공지능 윤리,Digital divide,Social inclusion,Scenario analysis,AI literacy,AI ethics",,KCI등재,"학술저널
",,173-200,,,," ScienceON, &nbsp;&nbsp; KCI, &nbsp;&nbsp; KISS",,"디지털 혁신과 인공지능(AI) 기술의 발전은 사회 전반에 걸쳐 큰 변화를 가져오고 있다. 본 연구는 인공지능이 점점 더 큰 영향을 미칠 2035년의 사회에서 정보 격차와 사회적 포용의 양상을 조사하였다. 이를 위해, 본 연구에서는 2x2 매 트릭스 시나리오 분석 방법론을 사용하여 AI 기술 발전 수준과 사회적 대응 수준이라는 두 가지 주요 축을 기반으로 다 양한 미래 시나리오를 도출하였다. 특히, 그리드 접근 방식을 통해 도출된 시나리오 간의 상호작용과 점진적 변화 가능 성을 탐색함으로써, 인공지능 기반 사회에서의 정보 격차와 사회적 포용에 관한 다각적인 전망을 제시하고자 하였다. 본 연구는 AI 기반 사회에서 정보 격차 문제를 해결하기 위해 기술적 및 사회적 전략이 모두 중요하다는 점을 강조한다. 연구 결과는 정책 입안자와 이해관계자에게 AI가 사회적 포용과 정보 격차에 미치는 다차원적 영향을 알리고, 균형 잡힌 AI 미래를 위한 실행 가능한 전략을 수립하는 데 도움이 되기를 기대한다.",,
