1USA_2Europe_3Japan,year,weight,mpg
1,70,3504,18
1,70,3693,15
1,70,3436,18
1,70,3433,16
1,70,3449,17
1,70,4341,15
1,70,4354,14
1,70,4312,14
1,70,4425,14
1,70,3850,15
1,70,3563,15
1,70,3609,14
1,70,3761,15
1,70,3086,14
3,70,2372,24
1,70,2833,22
1,70,2774,18
1,70,2587,21
3,70,2130,27
2,70,1835,26
2,70,2672,25
2,70,2430,24
2,70,2375,25
2,70,2234,26
1,70,2648,21
1,70,4615,10
1,70,4376,10
1,70,4382,11
1,70,4732,9
3,71,2130,27
1,71,2264,28
3,71,2228,25
1,71,2046,25
1,71,2634,19
1,71,3439,16
1,71,3329,17
1,71,3302,19
1,71,3288,18
1,71,4209,14
1,71,4464,14
1,71,4154,14
1,71,4096,14
1,71,4955,12
1,71,4746,13
1,71,5140,13
1,71,2962,18
1,71,2408,22
1,71,3282,19
1,71,3139,18
1,71,2220,23
2,71,2123,28
2,71,2074,30
2,71,2065,30
3,71,1773,31
3,71,1613,35
2,71,1834,27
1,71,1955,26
3,72,2278,24
1,72,2126,25
2,72,2254,23
1,72,2408,20
1,72,2226,21
1,72,4274,13
1,72,4385,14
1,72,4135,15
1,72,4129,14
1,72,3672,17
1,72,4633,11
1,72,4502,13
1,72,4456,12
1,72,4422,13
3,72,2330,19
1,72,3892,15
1,72,4098,13
1,72,4294,13
1,72,4077,14
2,72,2933,18
2,72,2511,22
2,72,2979,21
2,72,2189,26
1,72,2395,22
3,72,2288,28
3,72,2506,23
1,72,2164,28
3,72,2100,27
1,73,4100,13
1,73,3672,14
1,73,3988,13
1,73,4042,14
1,73,3777,15
1,73,4952,12
1,73,4464,13
1,73,4363,13
1,73,4237,14
1,73,4735,13
1,73,4951,12
1,73,3821,13
1,73,3121,18
1,73,3278,16
1,73,2945,18
1,73,3021,18
1,73,2904,23
2,73,1950,26
1,73,4997,11
1,73,4906,12
1,73,4654,13
1,73,4499,12
1,73,2789,18
3,73,2279,20
1,73,2401,21
3,73,2379,22
3,73,2124,18
1,73,2310,19
1,73,2472,21
2,73,2265,26
1,73,4082,15
1,73,4278,16
2,73,1867,29
2,73,2158,24
2,73,2582,20
2,73,2868,19
1,73,3399,15
2,73,2660,24
3,73,2807,20
1,73,3664,11
1,74,3102,20
1,74,2875,21
1,74,2901,19
1,74,3336,15
3,74,1950,31
1,74,2451,26
3,74,1836,32
1,74,2542,25
1,74,3781,16
1,74,3632,16
1,74,3613,18
1,74,4141,16
1,74,4699,13
1,74,4457,14
1,74,4638,14
1,74,4257,14
2,74,2219,29
2,74,1963,26
2,74,2300,26
3,74,1649,31
3,74,2003,32
1,74,2125,28
2,74,2108,24
2,74,2246,26
3,74,2489,24
3,74,2391,26
2,74,2000,31
1,75,3264,19
1,75,3459,18
1,75,3432,15
1,75,3158,15
1,75,4668,16
1,75,4440,15
1,75,4498,16
1,75,4657,14
1,75,3907,17
1,75,3897,16
1,75,3730,15
1,75,3785,18
1,75,3039,21
1,75,3221,20
1,75,3169,13
3,75,2171,29
1,75,2639,23
1,75,2914,20
1,75,2592,23
3,75,2702,24
2,75,2223,25
3,75,2545,24
1,75,2984,18
2,75,1937,29
1,75,3211,19
2,75,2694,23
2,75,2957,23
2,75,2945,22
2,75,2671,25
3,75,1795,33
2,76,2464,28
2,76,2220,25
1,76,2572,25
1,76,2255,26
2,76,2202,27
1,76,4215,17.5
1,76,4190,16
1,76,3962,15.5
1,76,4215,14.5
1,76,3233,22
1,76,3353,22
1,76,3012,24
1,76,3085,22.5
1,76,2035,29
1,76,2164,24.5
2,76,1937,29
3,76,1795,33
1,76,3651,20
1,76,3574,18
1,76,3645,18.5
1,76,3193,17.5
2,76,1825,29.5
3,76,1990,32
3,76,2155,28
1,76,2565,26.5
2,76,3150,20
1,76,3940,13
2,76,3270,19
3,76,2930,19
2,76,3820,16.5
1,76,4380,16.5
1,76,4055,13
1,76,3870,13
1,76,3755,13
3,77,2045,31.5
1,77,2155,30
2,77,1825,36
1,77,2300,25.5
3,77,1945,33.5
1,77,3880,17.5
1,77,4060,17
1,77,4140,15.5
1,77,4295,15
1,77,3520,17.5
1,77,3425,20.5
1,77,3630,19
1,77,3525,18.5
1,77,4220,16
1,77,4165,15.5
1,77,4325,15.5
1,77,4335,16
2,77,1940,29
1,77,2740,24.5
3,77,2265,26
1,77,2755,25.5
1,77,2051,30.5
1,77,2075,33.5
3,77,1985,30
2,77,2190,30.5
3,77,2815,22
2,77,2600,21.5
3,77,2720,21.5
2,78,1985,43.1
1,78,1800,36.1
3,78,1985,32.8
3,78,2070,39.4
3,78,1800,36.1
1,78,3365,19.9
1,78,3735,19.4
1,78,3570,20.2
1,78,3535,19.2
1,78,3155,20.5
1,78,2965,20.2
1,78,2720,25.1
1,78,3430,20.5
1,78,3210,19.4
1,78,3380,20.6
1,78,3070,20.8
1,78,3620,18.6
1,78,3410,18.1
1,78,3425,19.2
1,78,3445,17.7
1,78,3205,18.1
1,78,4080,17.5
1,78,2155,30
3,78,2560,27.5
3,78,2300,27.2
