v01,v02,v03,v1,v3_1,v3_2,v3_3,v4_1,v4_2,v4_3,v4_4,v4_5,v4_6,v5_1,v5_2,v5_3,v6_1,v6_2,v6_3,v7_1,v7_2,v7_3,v7_4,v7_5,v7_6,v7_7,v7_8,v8_1,v8_2,v8_3,v8_4,v9_1,v9_2,v9_3,a8_1,a8_2,a8_3,a9_1,a9_2,a9_3,v10_1,v10_2,v10_3,v11_1,v11_2,v11_3,v12,v13,v14
0,1,1,1,2,2,3,2,4,4,3,3,2,4,3,4,2,2,3,4,2,3,3,2,2,2,1,3,2,2,2,3,3,3,4,4,4,4,4,4,2,4,4,2,3,2,1,26,7
0,1,2,1,4,4,4,3,4,4,2,5,2,5,5,5,3,4,4,2,2,4,4,2,2,1,4,4,5,4,4,4,3,4,4,4,3,4,4,3,4,2,3,5,4,4,2,23,4
0,1,3,2,3,4,2,3,3,3,3,4,4,5,5,5,4,4,4,2,4,4,2,2,2,2,2,4,3,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,2,23,3
0,1,4,2,4,4,3,4,4,4,4,4,1,2,3,2,4,4,2,1,1,3,3,2,3,1,1,3,3,3,3,3,2,3,5,5,5,5,5,3,5,5,4,4,4,4,2,22,2
0,1,5,2,4,3,3,3,3,4,4,4,3,5,5,5,2,3,3,2,2,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,5,4,3,4,1,1,4,4,4,4,2,23,7
0,1,7,1,3,3,3,3,3,2,3,2,2,1,1,1,2,3,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,4,3,3,1,28,4
0,1,9,2,3,3,3,3,4,3,4,4,2,1,1,1,2,2,1,2,2,2,2,2,2,2,1,3,3,3,5,3,2,1,2,2,2,1,1,1,4,4,4,3,4,3,1,21,1
0,1,10,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,4,4,3,3,2,3,3,3,3,2,3,3,3,2,3,3,4,4,3,4,4,4,4,4,3,2,22,3
0,1,11,2,4,3,4,4,5,3,4,3,4,3,3,3,3,4,3,3,4,4,3,3,4,3,4,3,4,3,4,3,4,4,3,4,3,3,4,3,3,4,3,4,4,3,2,31,5
0,1,12,1,3,4,4,4,3,3,3,4,3,2,2,4,1,1,1,3,1,5,5,2,2,1,1,4,4,4,2,4,5,5,1,1,1,2,2,2,1,1,1,5,5,5,1,25,7
0,1,13,2,3,2,2,2,2,2,3,3,2,1,1,1,4,5,4,3,3,3,2,2,2,2,3,4,3,3,3,4,4,2,3,3,3,2,2,2,2,2,4,3,3,2,1,24,1
0,1,14,2,4,3,3,4,4,3,4,3,2,1,1,1,4,4,2,3,1,2,2,1,2,1,1,3,4,4,3,3,3,3,2,2,2,3,3,3,3,2,3,4,3,4,1,25,4
0,1,15,2,2,2,3,3,2,2,2,2,1,4,4,4,4,4,4,3,2,4,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,2,23,3
0,1,16,2,2,2,4,4,4,3,3,4,2,5,5,5,3,4,3,2,2,2,2,2,2,2,2,3,3,4,2,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,23,3
0,1,17,2,1,2,4,4,4,4,4,2,1,4,4,2,5,5,5,4,2,5,5,2,2,2,2,4,4,4,4,4,4,4,2,2,2,2,2,2,2,4,2,4,4,4,2,24,4
0,1,18,2,3,3,3,2,4,2,3,4,3,5,5,5,5,5,5,3,2,4,3,2,2,1,1,3,3,3,3,4,3,3,3,2,4,4,3,4,4,4,3,4,3,4,2,22,4
0,1,20,2,3,4,4,3,3,4,3,4,3,5,5,5,5,5,5,3,2,2,2,1,1,1,1,3,3,3,3,4,4,3,3,3,4,4,4,3,2,3,3,2,2,2,2,23,2
0,1,21,2,3,3,3,4,3,4,2,4,4,3,4,3,4,2,3,3,4,4,4,3,4,4,3,4,4,2,3,4,4,3,3,4,4,3,3,3,4,3,3,3,3,4,1,24,4
0,1,22,2,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,4,2,21,7
0,1,23,2,2,3,3,1,2,3,3,3,1,4,4,2,4,4,2,4,3,5,3,3,4,3,4,3,2,2,1,4,4,3,4,5,5,4,5,4,4,5,5,2,2,2,2,22,2
0,1,24,2,2,4,4,3,4,2,2,3,2,5,5,5,4,4,4,3,4,4,2,2,2,2,2,3,3,3,2,3,3,3,3,4,4,2,2,2,3,3,3,3,4,3,2,22,3
0,1,25,1,4,4,5,5,4,3,4,3,3,4,4,3,4,5,4,2,2,2,2,2,2,2,2,4,4,4,4,5,5,5,1,1,1,1,1,1,2,2,4,4,4,4,1,22,5
0,1,26,2,3,4,4,4,4,4,4,4,2,5,5,5,4,4,4,2,3,4,4,2,2,2,2,4,4,4,3,4,4,4,3,3,4,3,3,2,4,3,4,5,5,4,2,23,5
