time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.002353,-0.0215,0.0977,-0.1989,0.223
0.005070,-0.0460,0.1029,-0.0033,0.113
0.018218,-0.0476,0.0146,0.3162,0.320
0.023477,-0.0535,-0.0229,0.4110,0.415
0.034387,-0.0665,-0.0372,0.4946,0.500
0.043777,-0.0029,-0.0011,0.3784,0.378
0.060288,0.1252,-0.0105,0.0085,0.126
0.063424,0.1851,-0.0014,-0.1493,0.238
0.074575,0.2184,-0.0057,-0.3088,0.378
0.084269,0.1872,-0.0171,-0.2800,0.337
0.103548,0.1230,0.0064,-0.1381,0.185
0.103928,0.1128,-0.0108,-0.1021,0.153
0.114165,0.1143,-0.0118,-0.1009,0.153
0.123629,0.1477,0.0098,-0.1202,0.191
0.138560,0.1444,0.0154,-0.2427,0.283
0.144006,0.0989,0.0014,-0.2686,0.286
0.155157,0.0281,0.0006,-0.2679,0.269
0.164680,0.0487,-0.0013,-0.1576,0.165
0.178827,0.0238,-0.0014,-0.0242,0.034
0.183706,0.0390,0.0345,0.0150,0.054
0.202425,0.0112,0.0679,-0.0200,0.072
0.204464,-0.0303,0.0796,-0.0803,0.117
0.218508,-0.1357,0.1127,-0.0968,0.201
0.223943,-0.1742,0.1192,-0.0681,0.222
0.233689,-0.1660,0.1237,0.0287,0.209
0.245048,-0.1565,0.1076,0.1054,0.217
0.258854,-0.1574,0.1066,0.1026,0.216
0.263790,-0.1156,0.0348,0.1841,0.220
0.274801,-0.0642,-0.0170,0.1799,0.192
0.283408,-0.0454,-0.0388,0.1365,0.149
0.303093,0.0273,-0.0807,0.1169,0.145
0.304510,0.0440,-0.0754,0.1190,0.148
0.313800,0.0664,-0.0639,0.1136,0.146
0.324819,0.0948,-0.0511,0.0837,0.136
0.339577,0.1339,-0.0152,-0.0950,0.165
0.344694,0.1345,-0.0159,-0.1569,0.207
0.354343,0.1477,-0.0227,-0.2523,0.293
0.365489,0.1527,-0.0122,-0.2776,0.317
0.378492,0.1733,0.0173,-0.2175,0.279
0.384102,0.1344,-0.0017,-0.1740,0.220
0.397769,0.0695,0.0148,-0.1234,0.142
0.404318,0.0743,0.0305,-0.1427,0.164
0.418511,0.0724,-0.0166,-0.1308,0.150
0.425740,0.0685,-0.0015,-0.1039,0.124
0.434185,0.0694,0.0012,-0.0991,0.121
0.445093,0.0147,0.0222,0.0307,0.041
0.459224,0.0101,0.0830,0.0320,0.090
0.463926,0.0415,0.1379,-0.0084,0.144
0.474068,0.0278,0.1587,-0.1661,0.231
0.484649,0.0299,0.1434,-0.4054,0.431
0.498863,0.0769,0.1718,-0.5431,0.575
0.503834,0.1137,0.1834,-0.5220,0.565
0.514579,0.1086,0.1346,-0.4134,0.448
0.524614,0.1158,0.0996,-0.3097,0.345
0.538882,0.0890,0.0742,-0.1453,0.186
0.544547,0.0790,0.0720,-0.1037,0.149
0.553621,0.0589,0.0314,-0.0367,0.076
0.563862,0.0645,0.0246,-0.0135,0.070
0.579757,0.1274,0.0062,0.0816,0.151
0.583806,0.1715,0.0211,0.1290,0.216
0.597679,0.1485,0.0339,0.1551,0.217
0.604191,0.1538,-0.0151,0.0760,0.172
0.618466,0.1490,-0.0080,-0.0750,0.167
0.624259,0.1221,0.0017,-0.0779,0.145
0.635261,0.1651,0.0657,-0.0189,0.179
0.643994,0.1662,0.0878,-0.0191,0.189
0.659491,0.1113,0.0325,-0.1042,0.156
0.664881,0.0882,0.0581,-0.1288,0.167
0.674084,0.0092,0.0454,-0.0686,0.083
0.684654,-0.0451,0.0570,-0.0108,0.073
0.699406,0.0237,0.0566,-0.0188,0.064
0.703960,0.1017,0.0778,-0.0085,0.128
0.715207,0.3168,0.1607,0.0216,0.356
0.725306,0.4149,0.1789,-0.0917,0.461
0.738283,0.2900,0.0643,-0.4336,0.526
0.745372,0.3635,0.1155,-0.5288,0.652
0.754636,0.6577,0.2561,-0.9062,1.149
0.764166,0.6984,0.1873,-1.3864,1.564
0.781471,0.3882,0.1961,-1.6328,1.690
0.783584,0.3347,0.2850,-1.4093,1.476
0.797568,0.3256,0.3543,-1.1660,1.261
0.804597,0.3385,0.1983,-1.0228,1.095
0.818486,0.2726,0.0807,-0.7698,0.821
0.823288,0.2633,0.0920,-0.6522,0.709
0.834101,0.2792,0.2115,-0.4972,0.608
0.844748,0.2418,0.1544,-0.5965,0.662
0.859329,0.3941,0.1742,-0.7916,0.901
0.865443,0.4651,0.2066,-0.9346,1.064
0.876362,0.5421,0.2091,-1.2701,1.397
0.884301,0.4893,0.1383,-1.5155,1.598
0.899021,0.3530,0.2506,-1.3517,1.419
0.904675,0.3029,0.2486,-1.3204,1.377
0.914241,0.2591,0.1956,-1.1977,1.241
0.924575,0.2901,0.1562,-0.9935,1.047
0.938845,0.2733,0.1280,-0.6684,0.733
0.944785,0.2568,0.0969,-0.6592,0.714
0.955158,0.2927,0.0498,-0.6494,0.714
0.965131,0.2169,0.0188,-0.6259,0.663
0.978406,0.1451,0.0292,-0.5013,0.523
0.984430,0.1938,0.0601,-0.5517,0.588
0.994367,0.1504,-0.0219,-0.6675,0.685
1.004337,0.2360,0.0161,-0.7202,0.758
1.018535,0.1794,0.0316,-0.7011,0.724
1.023888,0.1756,0.0372,-0.7114,0.734
1.034041,0.1787,0.0290,-0.7193,0.742
1.044971,0.0439,-0.0354,-0.7844,0.786
1.058876,0.0113,-0.0234,-0.6983,0.699
1.064521,0.0938,-0.0381,-0.7213,0.728
1.074298,0.1991,-0.0473,-0.7065,0.736
1.085075,0.2312,-0.0664,-0.9118,0.943
1.099338,0.2096,-0.0718,-1.1681,1.189
1.104201,0.1601,-0.0846,-1.2113,1.225
1.114275,0.0999,-0.0816,-1.1641,1.171
1.124663,0.1139,-0.1142,-1.0490,1.061
1.138741,0.0592,-0.1256,-0.9849,0.995
1.145384,-0.0252,-0.2962,-1.2025,1.239
1.154349,0.1500,-0.2009,-1.4225,1.444
1.164661,0.0043,-0.2033,-1.4550,1.469
1.178715,0.1770,-0.1241,-1.5410,1.556
1.183883,0.2006,-0.1052,-1.6064,1.622
1.194374,0.1394,-0.2706,-1.7209,1.748
1.204013,0.1059,-0.2733,-1.6355,1.662
1.218841,-0.1660,-0.2828,-1.7713,1.801
1.223714,-0.1720,-0.3366,-1.9173,1.954
1.234387,-0.3626,-0.4674,-1.9829,2.069
1.245370,-0.3973,-0.3479,-1.7861,1.862
1.259195,-0.3213,-0.2945,-1.6318,1.689
1.264517,-0.2825,-0.2881,-1.7468,1.793
1.274016,-0.3944,-0.6723,-1.8029,1.964
1.284304,-0.3923,-0.4517,-1.8834,1.976
1.300285,-0.0268,-0.3759,0.3598,0.521
1.303663,0.1872,0.1874,-0.2179,0.343
1.314460,-0.8863,-1.0321,-1.2012,1.815
1.323848,-1.0686,-1.2770,-1.8630,2.499
1.339350,-0.9192,-1.1414,-1.9305,2.424
1.344030,-0.8837,-1.1033,-1.8116,2.298
1.355504,-0.8802,-1.0581,-1.2612,1.867
1.364824,-0.8460,-1.0754,-1.4197,1.972
1.379122,-1.1051,-1.5082,-0.5819,1.958
1.384865,-0.8925,-1.3648,-0.7346,1.789
1.394726,-0.6852,-1.2229,-0.9997,1.722
1.405684,-0.4968,-1.2830,-1.0325,1.720
1.418896,-0.5363,-1.5393,-1.3098,2.091
1.423725,-0.5255,-1.5817,-1.3928,2.172
1.434425,-0.4031,-1.6946,-1.4658,2.277
1.444589,-0.2622,-1.7024,-1.1069,2.047
1.459002,-0.5640,-1.8854,-0.5899,2.054
1.465049,-0.6554,-2.1701,-0.3516,2.294
1.474913,-0.3791,-2.0850,0.0073,2.119
1.484658,0.0102,-1.9259,0.1838,1.935
1.499480,0.0888,-1.6242,0.2843,1.651
1.504230,-0.0003,-1.5692,-0.0614,1.570
1.514838,-0.2459,-1.5400,-0.4103,1.613
1.524639,-0.5460,-1.7029,-0.9118,2.007
1.539234,-0.8059,-2.0477,-1.3441,2.579
1.545921,-0.7268,-2.1596,-1.3778,2.663
1.554387,-0.5170,-2.1549,-1.4111,2.627
1.564176,-0.6227,-2.2214,-1.2850,2.641
1.581884,-0.9639,-2.3695,-1.2536,2.849
1.583710,-0.8612,-2.3006,-1.2624,2.762
1.597005,-0.9120,-2.2782,-1.3300,2.791
1.603988,-0.8690,-2.2729,-1.7029,2.970
1.620097,-0.7412,-2.3135,-1.9881,3.139
1.628585,-0.5542,-2.2877,-2.1290,3.174
1.634052,-0.4625,-2.5177,-2.2493,3.408
1.644451,-0.5016,-2.7984,-2.1881,3.588
1.659835,-0.9529,-3.2733,-1.5881,3.761
1.664298,-1.0099,-3.4083,-1.4505,3.839
1.674745,-0.9408,-3.4433,-0.8483,3.669
1.684562,-1.0773,-3.4291,-0.2712,3.605
1.700677,-1.6165,-3.6302,0.3668,3.991
1.705596,-1.7337,-3.6683,0.4049,4.078
1.716325,-2.1312,-3.6724,0.7908,4.319
1.724056,-2.0055,-3.3536,1.1990,4.087
1.738447,-2.5225,-3.4060,1.3998,4.464
1.745657,-2.5148,-3.4001,1.2125,4.399
1.755078,-2.4575,-3.2267,1.1380,4.213
1.764495,-2.3992,-3.0482,1.0987,4.032
1.781680,-2.5481,-3.0812,1.2734,4.196
1.783800,-2.5449,-3.0360,1.2418,4.152
