time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.009191,-1.8784,-0.2444,-2.8399,3.414
0.015067,-1.6098,-0.1399,-2.7754,3.212
0.024672,-1.1123,-0.0627,-2.8566,3.066
0.036081,-0.7894,-0.3194,-2.9685,3.088
0.049228,-0.7582,-0.4598,-3.1791,3.300
0.054699,-0.8651,-0.5024,-3.1098,3.267
0.065045,-0.8659,-0.5068,-2.8828,3.052
0.075077,-0.9395,-0.5542,-2.7443,2.953
0.089377,-0.8902,-0.7194,-2.6494,2.886
0.100114,-0.8421,-0.7703,-2.7502,2.978
0.104560,-0.9527,-0.8462,-2.7469,3.028
0.114975,-0.9708,-0.9403,-2.7987,3.108
0.129879,-0.7686,-1.0428,-2.5334,2.845
0.134612,-0.7618,-1.0077,-2.5788,2.872
0.145066,-0.7847,-0.8973,-2.7983,3.042
0.154930,-1.0384,-1.0471,-2.7054,3.081
0.169470,-1.3462,-1.1501,-2.3905,2.975
0.174439,-1.3047,-1.1173,-2.4250,2.972
0.184554,-1.1667,-1.1667,-2.3234,2.850
0.194704,-0.9325,-1.1909,-2.4933,2.916
0.211147,-0.4975,-1.0326,-2.8276,3.051
0.214059,-0.3628,-1.0905,-2.8813,3.102
0.224207,-0.3812,-1.2770,-2.7325,3.040
0.234907,-0.3510,-1.2865,-2.3842,2.732
0.249774,-0.2307,-1.2568,-2.5938,2.891
0.255809,-0.3042,-1.2645,-2.8033,3.090
0.265011,-0.5177,-1.0798,-2.3706,2.656
0.274320,-0.9044,-1.4183,-1.7193,2.405
0.289373,-1.9163,-2.2167,-2.0648,3.585
0.295109,-2.2918,-2.3390,-2.2561,3.977
0.305043,-2.8377,-2.4704,-2.4482,4.489
0.315022,-3.0083,-2.6324,-2.5848,4.760
0.329954,-3.0416,-3.1127,-2.1018,4.833
0.333943,-2.6257,-3.0651,-2.1488,4.572
0.344065,-1.6446,-2.7084,-1.5222,3.515
0.354857,-1.0221,-2.7176,-1.0277,3.080
0.368667,-0.5738,-3.2165,-1.1856,3.476
0.374303,-0.4183,-3.2055,-1.3688,3.510
0.384983,-0.4595,-3.5164,-1.8915,4.019
0.394578,-0.0106,-3.6900,-2.0446,4.219
0.408842,-0.9328,-4.0215,-1.9134,4.550
0.415012,-1.1839,-4.0912,-1.8965,4.662
0.424259,-1.3035,-4.2240,-1.5756,4.693
0.435157,-1.1948,-4.4624,-0.8983,4.706
0.449625,-0.8727,-4.9213,0.0386,4.998
0.454524,-0.6876,-4.9398,0.2954,4.996
0.464853,-0.5098,-5.1169,0.9772,5.234
0.474902,-0.5249,-5.1828,1.6222,5.456
0.488889,-0.2910,-4.8448,3.3506,5.898
0.496043,-0.1406,-4.6150,2.9822,5.496
0.504813,-0.5160,-4.3857,3.3616,5.550
