성별,졸업시기,급여,안정성,직무내용,근로시간,발전가능성,승진제도,직장만족도,전공적합도,이직
1,0,180,4,4,4,2,3,4,2,1
1,0,200,4,4,4,4,4,4,2,1
0,0,180,2,3,2,3,2,2,3,1
0,0,170,5,4,5,4,5,4,4,0
0,0,250,5,4,4,3,4,5,1,0
1,1,240,2,4,3,2,2,3,1,0
1,0,220,5,5,5,4,4,5,4,0
0,0,178,2,4,5,3,3,4,3,1
1,0,153,4,4,4,3,4,4,4,0
0,0,200,3,3,3,3,3,4,3,1
1,0,175,3,4,4,4,4,3,1,0
1,0,208,4,5,4,4,3,4,4,0
1,0,200,3,2,2,3,5,4,1,0
1,0,203,4,3,4,3,3,4,2,0
0,0,160,4,4,4,4,3,4,3,0
0,0,160,4,4,4,3,3,3,2,0
1,0,180,4,3,3,4,3,3,3,0
1,0,200,4,4,1,1,4,2,1,1
1,0,170,4,4,4,4,4,4,4,0
1,0,300,5,5,5,5,5,5,2,0
0,0,250,3,3,3,2,2,3,3,1
1,0,185,3,3,3,3,1,4,4,0
1,0,180,4,4,4,4,4,4,4,0
1,0,200,3,3,5,2,3,3,4,0
1,0,200,4,3,3,2,3,3,1,1
1,0,175,4,2,3,3,2,3,3,1
1,0,220,3,3,3,4,3,3,3,0
0,0,220,2,3,3,3,3,3,3,1
1,1,160,4,3,3,2,3,3,1,0
0,0,180,5,4,5,4,4,4,3,0
0,0,220,4,4,4,3,3,3,3,0
0,0,170,4,4,3,3,4,3,3,0
0,0,200,4,4,4,4,4,4,4,0
0,0,200,4,4,4,4,4,4,3,0
1,1,220,2,3,4,2,3,4,1,1
1,0,260,5,5,5,5,5,5,4,0
0,0,175,4,4,4,3,3,4,3,0
0,0,300,5,5,5,5,5,5,1,0
1,0,208,3,3,3,3,2,3,3,1
1,0,220,3,4,4,3,4,3,3,0
1,0,180,4,2,4,4,2,3,1,0
1,0,190,3,3,4,4,3,3,3,0
1,0,180,4,3,5,4,4,3,3,0
0,0,250,4,4,3,3,3,4,2,0
0,0,250,5,5,3,5,5,5,5,0
1,0,210,4,4,4,3,4,4,2,0
0,0,193,3,3,3,3,3,4,1,0
0,0,230,4,4,3,4,4,4,2,0
0,0,200,2,2,5,4,5,3,1,1
0,0,220,5,4,4,4,4,4,5,0
1,0,176,4,5,5,5,3,4,3,0
1,0,220,3,3,2,1,1,2,1,1
1,0,170,4,4,4,4,3,4,4,0
1,0,205,4,4,4,5,4,4,5,0
