v1기능성,v2경제성,v3브랜드,v4환경과기술,v5내연기관전기차구매의도
0.551,-0.286,0.623,0.5,1
0.685,-0.764,1.293,1.276,1
-0.821,-2.677,-0.346,-2.036,0
0.623,1.194,1.559,-0.071,0
-0.061,0.626,-0.625,0.888,1
0.418,-0.286,0.324,-0.642,1
-0.28,-1.631,0.324,0.285,1
-0.655,-0.719,-0.911,-0.666,1
0.678,0.147,1.559,1.276,1
0.623,1.194,1.559,1.276,1
0.026,-1.631,-1.016,-1.262,0
-0.029,-0.286,-0.644,-0.473,0
-1.09,-1.631,-0.365,-0.071,1
0.551,-0.15,0.722,1.276,1
0.623,-0.286,1.559,1.074,1
0.223,1.194,-0.911,0.893,1
0.434,-0.286,1.559,0.883,1
-0.131,1.194,1.559,1.276,0
-0.778,-1.631,-0.346,-2.609,0
0.169,1.194,-0.911,0.878,1
0.294,-0.15,-0.067,-0.472,1
0.685,1.194,1.559,1.276,1
0.389,1.194,-0.644,1.276,1
0.685,1.194,0.429,-0.035,1
0.552,1.194,0.045,-1.183,1
-0.397,1.194,0.324,-0.823,1
0.49,-0.286,0.603,0.123,1
0.434,1.194,0.889,1.077,0
0.606,1.059,0.623,-0.454,1
-0.418,-0.719,0.61,-1.58,1
0.685,1.194,-0.377,-0.265,1
0.685,1.194,0.324,-1.031,1
-0.397,1.059,0.045,1.077,1
-0.084,-1.766,-0.911,0.085,1
-0.117,-0.286,-0.911,-0.666,0
-0.029,-0.286,-0.891,0.279,1
-0.609,-0.286,0.026,-0.473,0
-0.131,1.194,1.559,1.276,1
0.474,1.194,-0.911,0.681,1
0.215,-0.719,-0.365,-0.467,1
0.276,-0.286,-3.082,-1.617,1
-0.627,-0.854,-0.346,-0.267,1
0.205,-0.719,0.324,-0.071,1
0.685,1.194,1.559,1.276,1
0.606,1.194,-0.346,1.276,1
0.623,0.626,-0.872,-1.448,1
0.344,-0.15,0.324,0.085,0
0.346,-1.631,-0.346,-0.071,1
0.095,-1.197,-0.891,-0.25,1
0.418,1.194,0.591,-0.264,1
0.685,1.194,0.344,1.098,1
-0.068,-0.286,1.559,0.085,0
-1.028,-0.286,-0.644,-0.071,1
0.144,-0.286,0.324,1.077,0
0.418,1.194,-2.145,-0.866,1
-0.377,-0.286,0.324,-0.265,1
-0.028,-0.15,0.87,0.301,1
0.678,1.194,0.889,1.077,1
0.613,1.194,1.559,1.276,1
0.551,1.194,0.87,0.301,1
-1.028,-0.286,-1.449,-0.071,1
-1.903,-1.766,-1.177,-1.226,1
-0.101,-1.197,0.324,-1.418,1
-0.958,-0.286,-1.561,-0.473,1
0.623,1.194,0.324,0.717,1
-0.163,-0.286,-0.632,-0.071,1
0.222,-0.286,-0.768,-0.827,1
0.685,-1.766,-0.644,0.681,1
-1.09,-0.286,-0.625,-1.225,1
0.49,-0.286,1.559,0.506,1
0.685,1.194,-0.891,1.276,1
-0.162,-1.197,-0.911,-1.418,1
-0.163,1.194,0.324,-0.464,1
0.685,1.194,-0.911,1.276,0
-0.469,-0.719,0.324,-0.823,1
-1.028,-0.286,0.324,-0.071,1
0.434,-0.286,0.324,-0.071,1
0.685,1.194,1.559,-0.105,1
0.685,1.194,-0.911,-1.458,0
0.685,-0.286,-0.346,-0.071,0
-0.397,-1.197,-0.625,-0.27,0
0.418,1.059,1.261,0.085,1
0.685,1.194,0.324,0.524,0
0.167,0.761,1.559,0.524,1
-0.044,-0.719,0.305,-1.225,1
0.223,1.194,0.324,0.681,1
0.389,-0.286,0.623,1.276,1
0.616,0.012,0.344,-0.058,0
0.685,-0.15,0.324,1.276,1
-0.353,-0.286,0.324,0.72,1
-0.02,-0.15,-0.911,-0.071,0
-0.029,-0.286,-0.891,0.288,1
-0.968,-0.854,-0.612,-0.077,1
0.474,-0.286,0.591,0.681,1
-0.682,-0.286,0.058,-0.666,0
-1.324,-0.421,-2.27,-0.638,0
0.165,1.194,-1.19,0.905,1
0.685,1.194,0.324,0.309,0
0.277,1.194,-1.561,0.279,0
-0.108,-0.286,1.261,-2.557,1
0.354,-0.286,-0.911,-0.071,1
0.372,1.194,0.324,-0.071,1
0.095,-0.286,-0.911,0.085,1
0.606,1.194,0.324,0.72,0
-0.101,-1.766,-0.632,-0.663,1
0.434,-0.286,0.058,0.681,1
0.546,1.059,-0.346,0.473,0
0.623,1.059,1.559,0.473,1
0.685,1.059,-0.891,1.276,1
-0.101,-0.286,-1.196,-0.874,0
0.434,1.194,1.28,0.097,0
0.434,1.194,1.559,1.276,1
-0.01,-0.286,0.324,0.301,0
-2.537,-2.064,0.305,-1.407,0
0.678,0.761,0.038,-0.801,1
0.613,1.194,0.344,-0.043,0
0.427,-0.286,-2.145,0.315,1
-0.397,-1.631,0.591,-0.273,1
-0.32,1.194,1.559,1.276,1
-0.593,-1.631,-1.84,-2.222,0
0.685,0.147,0.889,1.276,0
0.685,1.059,-1.282,1.276,1
0.678,0.147,1.559,-0.071,1
0.41,-1.766,-1.847,1.077,1
0.41,1.059,0.324,1.276,1
0.169,-0.15,-0.891,0.309,1
0.544,1.194,-0.079,-0.273,1
-0.167,-1.766,-0.612,-0.071,0
