time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
13:47:04:051,-0.3106,-0.5445,-0.2767,0.685
13:47:04:052,-0.2982,-0.6080,-0.2556,0.724
13:47:04:063,0.6713,-0.8402,-0.2733,1.110
13:47:04:078,-0.0879,-0.9137,0.0388,0.919
13:47:04:082,-0.0802,-0.9452,-0.0129,0.949
13:47:04:092,-0.4048,-1.0016,-0.8382,1.367
13:47:04:103,0.2392,-0.5741,-0.3063,0.693
13:47:04:117,0.6594,-0.6786,0.6912,1.172
13:47:04:129,1.0718,-0.2500,0.5449,1.228
13:47:04:132,-0.4064,-0.3975,-0.3730,0.680
13:47:04:144,-0.4066,-0.4856,-1.3487,1.490
13:47:04:157,0.1091,-0.3290,-0.6994,0.781
13:47:04:163,-0.2915,-0.3793,0.2642,0.546
13:47:04:172,-0.9794,-0.7058,2.0066,2.342
13:47:04:182,-0.5428,-0.6183,1.6228,1.819
13:47:04:197,0.6990,-0.7954,-0.1773,1.074
13:47:04:203,1.3173,-0.9112,-0.9284,1.851
13:47:04:213,2.1220,-0.4827,-1.0562,2.419
13:47:04:223,2.4563,-0.1980,-0.9820,2.653
13:47:04:237,2.6456,0.0260,-1.6569,3.122
13:47:04:246,2.5609,0.1060,-1.6394,3.043
13:47:04:252,-3.0677,-0.3600,-2.8546,4.206
13:47:04:263,-2.9644,0.2355,-0.6832,3.051
13:47:04:277,-1.9025,-0.3226,0.6227,2.028
13:47:04:282,-0.8991,-0.9964,1.1043,1.738
13:47:04:292,-0.1520,-1.3802,1.4424,2.002
13:47:04:303,-0.9415,-1.2322,1.3975,2.087
13:47:04:317,-1.3200,-0.9405,1.6746,2.330
13:47:04:329,-0.6309,-0.8349,1.6481,1.952
13:47:04:333,0.3666,-0.7355,1.0609,1.342
13:47:04:344,0.9723,-0.5410,-0.0223,1.113
13:47:04:357,2.5332,-0.3074,-2.0118,3.249
13:47:04:362,2.6148,-0.1815,-2.0130,3.305
13:47:04:373,0.4209,-0.1137,-0.4170,0.603
13:47:04:382,-0.3207,0.0462,0.1921,0.377
13:47:04:397,-0.2194,0.1399,-0.7082,0.754
13:47:04:403,0.1430,0.1677,-0.6428,0.680
13:47:04:412,1.3789,-0.0768,0.8353,1.614
13:47:04:422,0.2087,-1.5287,2.5833,3.009
13:47:04:438,-0.5247,-0.6898,0.4821,0.992
13:47:04:442,-0.2766,-0.5056,-0.2442,0.626
13:47:04:453,0.6646,-0.5169,-1.7835,1.972
13:47:04:462,1.7397,-0.2422,-1.9840,2.650
13:47:04:477,2.7679,0.0130,-1.6775,3.237
13:47:04:482,2.7892,0.0070,-1.6745,3.253
13:47:04:492,3.3149,-0.1019,0.7160,3.393
13:47:04:502,1.5658,0.0224,1.8463,2.421
13:47:04:517,1.1860,0.9062,2.2584,2.707
13:47:04:524,1.3345,0.4320,1.8769,2.343
13:47:04:533,1.7430,-0.0701,1.2956,2.173
13:47:04:542,2.0333,3.2868,0.6870,3.925
13:47:04:557,1.6902,5.0708,-3.2704,6.266
13:47:04:562,0.9174,3.1453,-3.8555,5.060
13:47:04:574,1.0610,3.8796,-4.0461,5.705
13:47:04:582,2.4379,5.1119,-4.5055,7.237
13:47:04:596,3.7999,3.9307,-4.5771,7.130
13:47:04:602,3.6708,3.5332,-4.2671,6.646
13:47:04:613,3.7216,3.2839,-3.8785,6.299
13:47:04:624,4.0880,2.8117,-3.3428,5.983
13:47:04:640,4.0229,2.1601,-2.7381,5.324
13:47:04:642,3.1939,1.9957,-1.7666,4.160
13:47:04:652,3.5356,1.9997,-2.5627,4.803
13:47:04:662,2.9697,0.5216,-2.5903,3.975
13:47:04:676,2.4401,-0.6435,-2.2327,3.369
13:47:04:682,2.2487,-0.8886,-0.1715,2.424
13:47:04:693,2.5547,-3.9799,4.6502,6.633
13:47:04:702,2.7934,-6.3349,6.1380,9.253
13:47:04:717,2.1914,-4.8997,2.8434,6.074
13:47:04:724,2.0680,-4.7027,1.7588,5.430
13:47:04:734,0.8339,-4.7717,1.2717,5.008
13:47:04:743,0.0618,-4.8581,1.6968,5.146
13:47:04:759,0.2766,-6.2724,2.9128,6.921
13:47:04:763,0.6180,-6.3951,3.2795,7.213
13:47:04:774,2.4018,-6.5636,3.5985,7.861
13:47:04:783,3.4904,-7.2671,4.0034,9.001
13:47:04:797,3.8475,-7.5743,5.0015,9.858
13:47:04:807,3.7443,-7.4041,4.9056,9.639
13:47:04:813,3.5213,-6.2901,4.0619,8.274
13:47:04:826,2.4996,-5.5947,3.9617,7.297
13:47:04:838,-0.5398,-4.9336,3.1435,5.875
13:47:04:843,-1.0191,-4.0292,2.6386,4.923
13:47:04:855,-1.0800,-3.9302,2.1953,4.629
13:47:04:863,-0.9441,-4.1848,2.8993,5.178
13:47:04:877,-0.1489,-3.3740,2.3409,4.109
13:47:04:883,0.5142,-3.1339,1.9390,3.721
13:47:04:893,1.1898,-2.6670,1.2435,3.174
13:47:04:903,1.2834,-2.0112,0.7367,2.497
13:47:04:917,0.7986,-1.5649,-0.0499,1.758
13:47:04:927,0.6711,-1.5403,-0.3459,1.715
13:47:04:933,0.1133,-1.5594,-0.9363,1.822
13:47:04:943,-0.9159,-1.6839,-0.8473,2.096
13:47:04:959,-1.6431,-1.8392,-2.0499,3.207
13:47:04:962,-1.4788,-2.6930,-1.6424,3.484
13:47:04:973,-1.6674,-0.4569,-1.4373,2.248
13:47:04:983,-1.1303,0.6392,-2.0825,2.454
13:47:04:997,-0.6979,0.6872,-1.9974,2.225
13:47:05:003,-0.8684,1.1199,-1.6197,2.152
13:47:05:013,-0.8796,1.4962,-0.9621,1.984
13:47:05:023,-0.1955,1.2144,-0.4105,1.297
13:47:05:038,-0.1988,1.1893,-0.3662,1.260
13:47:05:042,0.3815,-0.2691,1.8458,1.904
13:47:05:057,1.5769,0.1806,2.1881,2.703
13:47:05:063,2.4151,0.2630,1.5858,2.901
13:47:05:077,2.5143,0.7023,0.2600,2.623
13:47:05:083,3.0612,0.3609,0.1710,3.087
13:47:05:093,2.1150,2.5829,-0.1725,3.343
13:47:05:105,2.0383,2.2746,-0.6441,3.121
13:47:05:118,2.3327,2.6482,-1.0032,3.669
13:47:05:125,3.6413,2.9055,-0.6987,4.710
13:47:05:136,5.3041,2.9908,-0.8576,6.149
13:47:05:143,6.1222,2.7644,-0.9231,6.780
13:47:05:157,4.2238,1.9624,-0.2263,4.663
13:47:05:163,2.9369,1.9540,0.0710,3.528
13:47:05:174,1.5538,1.5541,0.1803,2.205
13:47:05:183,0.7716,1.2569,0.4103,1.531
13:47:05:197,-0.0939,1.2524,0.3246,1.297
13:47:05:203,-0.0752,1.2586,0.0220,1.261
13:47:05:213,0.3703,0.9398,-0.6666,1.210
13:47:05:225,0.7227,0.4152,-1.0444,1.336
13:47:05:238,0.6072,-0.6961,-1.1440,1.470
13:47:05:243,0.5930,-1.0967,-1.1161,1.673
13:47:05:253,0.4011,-1.6834,-1.0195,2.008
13:47:05:263,-0.0169,-1.8841,-1.1233,2.194
13:47:05:277,-0.6539,-2.1140,-1.0797,2.462
13:47:05:283,-0.6961,-2.2689,-0.7356,2.485
13:47:05:294,-1.2806,-2.4125,-0.3283,2.751
13:47:05:303,-2.0057,-2.5612,-0.2243,3.261
13:47:05:317,-2.7446,-2.4742,-0.4081,3.718
13:47:05:325,-2.7791,-2.7527,-0.4339,3.936
13:47:05:333,-2.5035,-3.5671,-0.8437,4.439
13:47:05:342,-2.1202,-4.1111,-1.0026,4.733
13:47:05:359,-1.4687,-4.0311,-1.2808,4.477
13:47:05:364,-1.1870,-3.9583,-1.2461,4.316
13:47:05:374,-1.0850,-4.2508,-0.8806,4.475
13:47:05:383,-0.9633,-3.7084,-0.5118,3.865
